title,company,skills,link
Data Analyst,Moody's Corporation,"credit rating analysis , financial analysis , accounting principles , data analysis , financial statements , charts , spreadsheets , mis , reporting , cfa , financial statement analysis , excel , finance",https://www.timesjobs.com/job-detail/senior-financial-data-analyst-moody-s-corporation-bengaluru-bangalore-1-to-2-yrs-jobid-RCQknmiT4QFzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,cnh industrial india pvt ltd,"database analysis , data visualization , excel , powerbi , python , database development , devops , big data , problem solving , sdp",https://www.timesjobs.com/job-detail/engineer-data-analyst-cnh-industrial-india-pvt-ltd-pune-noida-greater-noida-gurgaon-4-to-8-yrs-jobid-XUJ__PLUS__SpQu__SLASH__CNzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Binance,"data analysis , security rules , statistical techniques , data visualization , query languages , learning , career development , workforce , communication",https://www.timesjobs.com/job-detail/senior-security-data-analyst-binance-manama-4-to-9-yrs-jobid-XhpjNLxQbaRzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Lalamove,"data analysis , sql queries , data visualization , python scripting , business intelligence , hive , bi , data warehousing , mysql , rest , team player",https://www.timesjobs.com/job-detail/lalamove-data-analyst-lalamove-hong-kong-1-to-9-yrs-jobid-nTSMN1aBAIpzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Clarivate Analytics,"advanced sql , data visualization , data analysis , python , data warehousing , dashboards , security , data extraction , director , tableau , analyst",https://www.timesjobs.com/job-detail/data-analyst-research-analyst-clarivate-analytics-3-to-5-yrs-jobid-7fJuti1NDfNzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Hash connect,"trend , google adwords , marketing , campaigns",https://www.timesjobs.com/job-detail/designation-data-analyst-hash-connect-bengaluru-bangalore-3-to-5-yrs-jobid-t9bFU2sVMltzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,Zobello.com,"data mining , data analysis , data modeling",https://www.timesjobs.com/job-detail/data-analyst-associate-zobello-com-delhi-delhi-ncr-1-to-2-yrs-jobid-qCs0vk3__PLUS__guBzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,SCALABLE SYSTEMS,"dbms , x12 , data structures , big data , database management system , oracle , sybase , ms access , nosql , hl7 , cassandra , sql , hadoop , technical skills , mongodb , sas , toad , neo4j",https://www.timesjobs.com/job-detail/healthcare-data-analyst-scalable-systems-10-to-13-yrs-jobid-wiWKaHWr8UFzpSvf__PLUS__uAgZw==&source=srp
Data Analyst,DemandMatrix,"python , bi , sql , postgresql , xml , linux , json , html",https://www.timesjobs.com/job-detail/sr-data-analyst-demandmatrix-pune-5-to-8-yrs-jobid-Yj4N7VJ4nkJzpSvf__PLUS__uAgZw==&source=srp
DATA ANALYST,green-tree advisory,"oracle , information management , sas , data mining , ms access , javascript , sql , database , bw , xml",https://www.timesjobs.com/job-detail/business-data-analyst-green-tree-advisory-gurgaon-3-to-6-yrs-jobid-InSPDF1gT8dzpSvf__PLUS__uAgZw==&source=srp
